City_Name,Latitude,Longitude,Temperature,Wind Speed,Cloudiness,Humidity,Country,Date
kozhva,65.1073,57.0459,38.64,6.67,100,99,RU,1651937570
saint-pierre,-21.3393,55.4781,74.37,5.75,0,78,RE,1651937088
hami,42.8,93.45,77.34,2.73,1,24,CN,1651937135
constitucion,-35.3333,-72.4167,60.87,6.67,0,59,CL,1651937144
ribeira grande,38.5167,-28.7,64.8,5.75,20,72,PT,1651937072
souillac,-20.5167,57.5167,75.58,11.5,40,88,MU,1651937061
mto wa mbu,-3.35,35.85,73.56,2.98,70,68,TZ,1651937571
labuhan,-6.8844,112.2051,80.33,4.23,79,85,ID,1651937572
kurilsk,45.2333,147.8833,47.77,22.24,93,93,RU,1651937572
lorengau,-2.0226,147.2712,82.51,13.11,92,82,PG,1651937219
salym,60.0625,71.4789,30.29,4.61,73,85,RU,1651937573
moron,-34.6534,-58.6198,71.42,5.66,0,69,AR,1651937573
soyo,-6.1349,12.3689,80.76,7.16,98,80,AO,1651937574
konde,-4.95,39.75,78.8,10.29,93,81,TZ,1651937574
sola,-13.8833,167.55,79.47,3.44,2,78,VU,1651937527
hokitika,-42.7167,170.9667,57.54,6.53,89,86,NZ,1651937575
clyde river,70.4692,-68.5914,14.23,4.61,100,92,CA,1651937240
karaton,-6.3424,106.1045,74.93,2.73,99,92,ID,1651937575
zaykovo,57.5613,62.7568,47.95,9.04,59,67,RU,1651937575
berdyaush,55.1619,59.1464,42.31,4.21,43,66,RU,1651937576
bonavista,48.6499,-53.1147,38.37,15.01,57,60,CA,1651937576
ranot,7.7777,100.3213,83.3,18.48,100,82,TH,1651937577
imeni babushkina,59.7573,43.1285,53.29,10.69,50,71,RU,1651937577
nador,35.174,-2.9287,70.05,5.75,20,73,MA,1651937194
tanabe,33.7333,135.3667,63.93,1.01,56,77,JP,1651937578
barranca,-10.75,-77.7667,69.13,9.93,47,76,PE,1651937578
la solana,38.9442,-3.2381,73.6,10.85,0,25,ES,1651937578
amga,60.8953,131.9608,37.18,6.6,100,96,RU,1651937579
lavrentiya,65.5833,-171.0,18.52,3.94,95,98,RU,1651937132
karatuzskoye,53.6072,92.8667,40.66,7.0,100,87,RU,1651937579
basco,20.4487,121.9702,82.18,13.91,94,81,PH,1651937580
beruwala,6.4788,79.9828,81.97,5.99,82,85,LK,1651937580
salalah,17.0151,54.0924,86.09,10.36,20,74,OM,1651937404
derzhavinsk,51.1,66.3167,48.36,10.09,1,32,KZ,1651937581
wellington,-41.2866,174.7756,61.21,27.63,40,84,NZ,1651937407
xihe,31.6864,113.4659,69.76,7.9,36,69,CN,1651937581
asau,46.4333,26.4,61.72,6.49,47,45,RO,1651937071
ancud,-41.8697,-73.8203,55.35,14.61,100,83,CL,1651937196
avera,33.194,-82.5271,67.48,16.69,40,49,US,1651937582
vila franca do campo,37.7167,-25.4333,68.41,3.51,95,88,PT,1651937259
nacala,-14.5428,40.6728,79.92,9.22,20,78,MZ,1651937583
richards bay,-28.783,32.0377,70.7,5.17,0,86,ZA,1651936778
rochegda,62.8,43.25,55.99,8.72,100,61,RU,1651937583
arraial do cabo,-22.9661,-42.0278,78.66,13.8,40,69,BR,1651937084
kununurra,-15.7667,128.7333,78.78,11.5,1,25,AU,1651937459
port lincoln,-34.7333,135.8667,56.55,2.44,12,78,AU,1651937063
kavaratti,10.5669,72.642,84.92,13.98,9,71,IN,1651936897
banfora,10.6333,-4.7667,95.81,6.31,86,34,BF,1651937584
kieta,-6.2167,155.6333,79.03,3.69,98,84,PG,1651937137
kidal,18.4411,1.4078,104.94,15.64,83,8,ML,1651937585
bambous virieux,-20.3428,57.7575,75.45,11.5,40,88,MU,1651937103
teo,42.75,-8.5,80.62,5.99,0,33,ES,1651937585
te anau,-45.4167,167.7167,56.32,3.96,100,91,NZ,1651937197
sur,22.5667,59.5289,89.8,11.65,0,50,OM,1651937378
terra rica,-22.7094,-52.6169,73.76,9.69,61,53,BR,1651937590
vanavara,60.34,102.2797,36.93,18.01,24,69,RU,1651937590
boueni,-12.9025,45.0761,82.38,12.66,67,74,YT,1651937188
kalianget,-7.05,113.9333,83.41,8.03,11,78,ID,1651937591
high rock,26.6208,-78.2833,84.22,18.19,6,71,BS,1651937591
chuy,-33.6971,-53.4616,68.61,2.68,0,60,UY,1651937065
baruun-urt,46.6806,113.2792,41.11,5.26,80,24,MN,1651937592
tazmalt,36.3868,4.3989,58.84,5.39,99,75,DZ,1651937592
arbagar,51.9438,116.2805,46.13,4.05,14,24,RU,1651937594
dudinka,69.4058,86.1778,11.62,14.12,21,94,RU,1651937571
